tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,year,month_April,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,Partly cloudy,Rainy,Overcast,Clear,Snow
22.1,19.2,20.9,22.1,19.2,20.9,16.7,77.7,3.4,100,41.67,rain,0.0,0.0,55.1,31.9,59.6,1020.7,84.1,13.9,55.3,4.6,2,0.22,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
25.0,17.8,20.8,25.0,17.8,20.8,18.6,87.7,8.994,100,45.83,rain,0.0,0.0,36.4,19.9,29.8,1015.0,87.3,11.0,103.6,9.0,5,0.25,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
27.0,18.3,22.5,26.5,18.3,22.5,11.5,53.1,3.307,100,8.33,rain,0.0,0.0,53.3,36.2,331.2,1016.2,51.5,15.8,319.4,27.6,10,0.3,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
24.3,17.5,20.9,24.3,17.5,20.9,11.2,55.1,1.731,100,8.33,rain,0.0,0.0,36.4,21.4,98.1,1019.7,70.6,15.9,263.0,22.7,10,0.33,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
24.9,18.2,20.0,24.9,18.2,20.0,16.5,80.8,26.224,100,66.67,rain,0.0,0.0,49.9,24.8,126.7,1009.4,74.3,14.3,147.4,12.9,7,0.37,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
26.0,13.7,19.7,26.0,13.7,19.7,8.4,51.0,0.0,0,0.0,none,0.0,0.0,52.8,38.0,280.5,1016.5,33.4,16.0,332.0,28.7,10,0.4,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
28.2,15.8,22.2,27.8,15.8,22.1,12.3,55.5,0.0,0,0.0,none,0.0,0.0,39.6,30.9,200.0,1019.1,53.5,16.0,254.0,21.9,10,0.44,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
29.9,20.5,25.3,32.2,20.5,26.0,16.9,60.0,0.0,0,0.0,none,0.0,0.0,46.1,26.2,193.5,1012.6,66.9,16.0,237.2,20.3,9,0.48,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
32.1,23.3,26.5,34.5,23.3,27.2,20.3,70.3,25.093,100,25.0,rain,0.0,0.0,32.4,20.4,168.8,1014.3,58.8,14.8,230.3,19.6,10,0.5,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
31.0,22.1,24.8,32.7,22.1,25.4,21.1,81.1,29.242,100,25.0,rain,0.0,0.0,51.8,21.6,199.0,1013.4,63.8,15.1,183.9,15.7,7,0.54,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
29.4,22.1,25.5,32.6,22.1,26.6,21.6,79.6,0.131,100,8.33,rain,0.0,0.0,29.9,18.8,171.7,1009.0,66.1,16.0,256.5,22.1,9,0.57,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
33.2,23.3,27.1,35.1,23.3,28.2,21.5,73.5,2.0,100,20.83,rain,0.0,0.0,40.7,28.3,219.4,1002.1,69.0,15.8,242.3,20.9,9,0.61,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
28.6,21.6,25.2,28.2,21.6,25.1,15.4,57.2,0.0,0,0.0,none,0.0,0.0,65.8,41.5,303.8,1006.5,53.1,16.0,290.8,25.1,10,0.64,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
28.2,19.3,23.8,27.3,19.3,23.6,9.9,42.2,0.0,0,0.0,none,0.0,0.0,36.9,23.4,319.4,1015.7,46.8,16.0,313.3,27.2,10,0.67,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
28.7,18.0,23.8,27.9,18.0,23.7,12.3,50.3,0.0,0,0.0,none,0.0,0.0,27.7,19.6,227.5,1017.0,43.2,16.0,313.6,27.0,10,0.7,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
